task_type,perturbation_type,n_items,mean_noise_corrected_drift,similarity_metric
code_generation,context_injection,1,0.025948,sentence-transformers/all-MiniLM-L6-v2
code_generation,formatting_changes,1,-0.009633,sentence-transformers/all-MiniLM-L6-v2
code_generation,paraphrasing,1,0.041442,sentence-transformers/all-MiniLM-L6-v2
code_generation,reordering,1,0.014932,sentence-transformers/all-MiniLM-L6-v2
code_generation,surface_noise,1,-0.00062,sentence-transformers/all-MiniLM-L6-v2
factual_qa,context_injection,1,0.062831,sentence-transformers/all-MiniLM-L6-v2
factual_qa,formatting_changes,1,0.050575,sentence-transformers/all-MiniLM-L6-v2
factual_qa,paraphrasing,1,-0.008114,sentence-transformers/all-MiniLM-L6-v2
factual_qa,reordering,1,-0.020535,sentence-transformers/all-MiniLM-L6-v2
factual_qa,surface_noise,1,-0.010871,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,context_injection,1,0.005024,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,formatting_changes,1,0.066452,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,paraphrasing,1,-0.005167,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,reordering,1,0.024498,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,surface_noise,1,-0.01202,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,context_injection,1,0.066072,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,formatting_changes,1,0.000425,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,paraphrasing,1,-0.004696,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,reordering,1,0.004064,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,surface_noise,1,0.006697,sentence-transformers/all-MiniLM-L6-v2
