index,task_perturbation,mean,std,count
14,math_reasoning / surface_noise,0.3,0.39907299991262163,10
1,code_generation / formatting,0.2666666666666667,0.4388537257362556,10
11,math_reasoning / formatting,0.23333333333333334,0.316227766016838,10
13,math_reasoning / reordering,0.23333333333333334,0.22498285257018433,10
12,math_reasoning / paraphrase,0.2333333333333333,0.2249828525701843,10
2,code_generation / paraphrase,0.16666666666666669,0.36004114991154784,10
0,code_generation / context_injection,0.13333333333333333,0.23306863292670035,10
10,math_reasoning / context_injection,0.13333333333333333,0.17213259316477408,10
4,code_generation / surface_noise,0.1,0.31622776601683794,10
5,factual_qa / context_injection,0.1,0.2249828525701843,10
9,factual_qa / surface_noise,0.06666666666666668,0.21081851067789198,10
7,factual_qa / paraphrase,0.06666666666666667,0.14054567378526128,10
6,factual_qa / formatting,0.06666666666666667,0.14054567378526128,10
3,code_generation / reordering,0.03333333333333333,0.10540925533894598,10
8,factual_qa / reordering,0.0,0.0,10
