group_family,group,task_type,perturbation_type,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_holm_p
overall,overall,,,2250,0.16720124098148487,1.429336244485532e-15,0.10510758328517078,5.829982390806427e-07,1.3408959498854782e-05
task,code_generation,code_generation,,750,0.2297080335949879,1.9448672587272415e-10,0.10152664561484558,0.005386244414019356,0.09695239945234842
task,factual_qa,factual_qa,,750,0.20263337808172208,2.1650834219612575e-08,0.23404119515129773,8.633616685294744e-11,2.0720680044707384e-09
task,math_reasoning,math_reasoning,,750,0.1689600244678003,3.272435568533483e-06,0.03249438149450711,0.3741935411633017,1.0
perturbation,context_injection,,context_injection,450,-0.035319074603867955,0.45483417912512353,0.04509141326388976,0.3399022711655697,1.0
perturbation,formatting_changes,,formatting_changes,450,0.1224206713962552,0.009336078154434222,0.06430371011612267,0.17329153544331086,1.0
perturbation,paraphrasing,,paraphrasing,450,0.17546356647604266,0.0001833968044862671,0.1329247882502595,0.004736014170556471,0.08998426924057296
perturbation,reordering,,reordering,450,0.1643246351026032,0.00046529839151643256,0.1140736106792791,0.015476005757748669,0.2476160921239787
perturbation,surface_noise,,surface_noise,450,0.15369785131874897,0.0010723974785327643,0.08310558372368491,0.0782248982211105,1.0
task_perturbation,code_generation / context_injection,code_generation,context_injection,150,-0.11319414425544559,0.16783956862289584,-0.013498717583606523,0.869771056741189,1.0
task_perturbation,code_generation / formatting_changes,code_generation,formatting_changes,150,0.015143985334209206,0.8540651189367056,0.04082882918675909,0.6198430581460758,1.0
task_perturbation,code_generation / paraphrasing,code_generation,paraphrasing,150,0.39080272758864587,7.639177891248327e-07,0.2804094860140576,0.0005097736732286073,0.011215020811029361
task_perturbation,code_generation / reordering,code_generation,reordering,150,0.03828581754917645,0.6418228971086037,0.05476083121819256,0.5056862536993737,1.0
task_perturbation,code_generation / surface_noise,code_generation,surface_noise,150,0.18454012930872038,0.02377838421640347,0.05861954783791269,0.4761260787853451,1.0
task_perturbation,factual_qa / context_injection,factual_qa,context_injection,150,0.3210655189058208,6.177609309145882e-05,0.2684663550904951,0.0008946503246342248,0.01878765681731872
task_perturbation,factual_qa / formatting_changes,factual_qa,formatting_changes,150,0.3046231726650217,0.00015056882804115662,0.13815391234965993,0.09180101866306109,1.0
task_perturbation,factual_qa / paraphrasing,factual_qa,paraphrasing,150,0.1666683242757956,0.04150331519439252,0.14537461541047839,0.0758953054642454,1.0
task_perturbation,factual_qa / reordering,factual_qa,reordering,150,0.23620763665896266,0.003613883096334589,0.25887481034895093,0.001380285305265781,0.027605706105315618
task_perturbation,factual_qa / surface_noise,factual_qa,surface_noise,150,0.3809691146235512,1.5130665952346398e-06,0.21865859094386542,0.007183463856554349,0.12211888556142395
task_perturbation,math_reasoning / context_injection,math_reasoning,context_injection,150,-0.19739286805910555,0.015469060957566505,-0.047680622902261036,0.5623121970084627,1.0
task_perturbation,math_reasoning / formatting_changes,math_reasoning,formatting_changes,150,0.08145991900919773,0.32169622164518136,0.0585213097916549,0.47686682826397714,1.0
task_perturbation,math_reasoning / paraphrasing,math_reasoning,paraphrasing,150,0.2998884223227551,0.0001927547501291822,0.12454009366211838,0.12889932471524249,1.0
task_perturbation,math_reasoning / reordering,math_reasoning,reordering,150,-0.17502777761379634,0.032171239800720404,-0.09316820287134647,0.2567963705409312,1.0
task_perturbation,math_reasoning / surface_noise,math_reasoning,surface_noise,150,-0.029491495141254345,0.7201547702171227,0.02114824344078384,0.7972760394973392,1.0
