task_type,perturbation_type,n,mean_noise_corrected_drift,mean_absolute_performance_change,mean_original_performance,mean_perturbed_performance,drop_share
code_generation,context_injection,150,0.0025446600000000002,0.0053333333333333375,0.8586666666666667,0.8533333333333334,0.06666666666666667
code_generation,formatting_changes,150,0.003172913333333334,-0.0026666666666666683,0.8586666666666667,0.8613333333333333,0.06
code_generation,paraphrasing,150,0.014637253333333333,0.06,0.8586666666666667,0.7986666666666666,0.16
code_generation,reordering,150,0.007271986666666667,0.006666666666666666,0.8586666666666667,0.8519999999999999,0.06
code_generation,surface_noise,150,0.0006382533333333335,0.0013333333333333352,0.8586666666666667,0.8573333333333333,0.08
factual_qa,context_injection,150,0.00550912,0.014609646666666668,0.8395586533333333,0.8249490133333333,0.11333333333333333
factual_qa,formatting_changes,150,0.0060316266666666654,0.0005645533333333307,0.8395586533333333,0.8389941,0.1
factual_qa,paraphrasing,150,0.08871369333333333,0.028023140000000002,0.8395586533333333,0.81153552,0.18
factual_qa,reordering,150,0.0380406,0.043171853333333336,0.8395586533333333,0.7963867866666667,0.19333333333333333
factual_qa,surface_noise,150,0.0022113799999999998,0.010285893333333332,0.8395586533333333,0.8292727466666667,0.10666666666666667
math_reasoning,context_injection,150,-0.0008319599999999998,0.009333333333333334,0.6813333333333333,0.672,0.12666666666666668
math_reasoning,formatting_changes,150,-0.0015762466666666666,0.021333333333333336,0.6813333333333333,0.66,0.14
math_reasoning,paraphrasing,150,0.020368233333333333,0.05866666666666667,0.6813333333333333,0.6226666666666667,0.19333333333333333
math_reasoning,reordering,150,-0.0023635400000000003,-0.0013333333333333335,0.6813333333333333,0.6826666666666668,0.1
math_reasoning,surface_noise,150,-0.0011342799999999999,0.013333333333333334,0.6813333333333333,0.668,0.13333333333333333
